epoch;false_negatives_50;false_positives_50;loss;precision_50;true_negatives_50;true_positives_50
0;367.0;48.0;0.7043859958648682;0.7669903039932251;471.0;158.0
1;388.0;20.0;0.6942839026451111;0.8726114630699158;499.0;137.0
2;386.0;17.0;0.6861079335212708;0.8910256624221802;502.0;139.0
3;384.0;14.0;0.679347813129425;0.9096774458885193;505.0;141.0
4;368.0;13.0;0.6730664372444153;0.9235293865203857;506.0;157.0
5;354.0;12.0;0.6671385169029236;0.9344262480735779;507.0;171.0
6;340.0;15.0;0.6616390943527222;0.925000011920929;504.0;185.0
7;332.0;16.0;0.6566218733787537;0.9234449863433838;503.0;193.0
8;329.0;16.0;0.6521231532096863;0.9245283007621765;503.0;196.0
9;313.0;16.0;0.6477413177490234;0.9298245906829834;503.0;212.0
10;303.0;15.0;0.6434376239776611;0.9367088675498962;504.0;222.0
11;292.0;15.0;0.6392818093299866;0.9395161271095276;504.0;233.0
12;286.0;15.0;0.6350461840629578;0.9409449100494385;504.0;239.0
13;283.0;14.0;0.6308644413948059;0.9453125;505.0;242.0
14;263.0;14.0;0.6269494891166687;0.9492753744125366;505.0;262.0
15;260.0;14.0;0.6229966282844543;0.9498208165168762;505.0;265.0
16;255.0;14.0;0.6190721392631531;0.9507042169570923;505.0;270.0
17;252.0;14.0;0.6151501536369324;0.9512194991111755;505.0;273.0
18;243.0;14.0;0.6110420227050781;0.9527027010917664;505.0;282.0
19;244.0;14.0;0.6070001125335693;0.9525423645973206;505.0;281.0
20;239.0;14.0;0.6030016541481018;0.95333331823349;505.0;286.0
21;241.0;14.0;0.5989119410514832;0.9530201554298401;505.0;284.0
22;236.0;14.0;0.5947309732437134;0.9537953734397888;505.0;289.0
23;232.0;14.0;0.5906171202659607;0.9543973803520203;505.0;293.0
24;225.0;14.0;0.5864963531494141;0.9554139971733093;505.0;300.0
25;231.0;14.0;0.5823572874069214;0.9545454382896423;505.0;294.0
26;222.0;14.0;0.5782291889190674;0.9558359384536743;505.0;303.0
27;223.0;14.0;0.573967695236206;0.9556962251663208;505.0;302.0
28;220.0;14.0;0.5698634386062622;0.9561128616333008;505.0;305.0
29;220.0;14.0;0.5655899047851562;0.9561128616333008;505.0;305.0
30;214.0;15.0;0.5613304376602173;0.953987717628479;504.0;311.0
31;211.0;15.0;0.5569519400596619;0.954407274723053;504.0;314.0
32;210.0;15.0;0.5526255369186401;0.9545454382896423;504.0;315.0
33;208.0;15.0;0.5483594536781311;0.9548192620277405;504.0;317.0
34;206.0;14.0;0.5439765453338623;0.9579579830169678;505.0;319.0
35;200.0;15.0;0.5396363735198975;0.9558823704719543;504.0;325.0
36;197.0;16.0;0.535284698009491;0.9534883499145508;503.0;328.0
37;197.0;14.0;0.530884861946106;0.9590643048286438;505.0;328.0
38;196.0;14.0;0.5267356038093567;0.9591836929321289;505.0;329.0
39;194.0;17.0;0.522398054599762;0.9511494040489197;502.0;331.0
40;192.0;16.0;0.5180957317352295;0.9541547298431396;503.0;333.0
41;193.0;16.0;0.5138309597969055;0.954023003578186;503.0;332.0
42;184.0;17.0;0.5094527006149292;0.9525139927864075;502.0;341.0
43;185.0;17.0;0.5051992535591125;0.9523809552192688;502.0;340.0
44;179.0;16.0;0.5010088682174683;0.9558011293411255;503.0;346.0
45;178.0;16.0;0.496725857257843;0.9559228420257568;503.0;347.0
46;174.0;17.0;0.49267128109931946;0.9538043737411499;502.0;351.0
47;173.0;16.0;0.48850908875465393;0.95652174949646;503.0;352.0
48;172.0;16.0;0.48441362380981445;0.9566395878791809;503.0;353.0
49;169.0;16.0;0.48026415705680847;0.9569892287254333;503.0;356.0
50;169.0;17.0;0.4762626588344574;0.9544236063957214;502.0;356.0
51;164.0;17.0;0.47236567735671997;0.9550264477729797;502.0;361.0
52;164.0;16.0;0.468235045671463;0.9575597047805786;503.0;361.0
53;159.0;17.0;0.46455883979797363;0.9556135535240173;502.0;366.0
54;158.0;17.0;0.4607098698616028;0.9557291865348816;502.0;367.0
